order_id,order_date,customer_id,region,channel
O00001,2024-07-02,C0001,West,Online
O00002,2024-07-06,C0002,Northeast,Online
O00003,2024-07-08,C0003,Southeast,Retail
O00004,2024-07-11,C0004,Midwest,Online
O00005,2024-07-14,C0005,Southwest,Partner
O00006,2024-07-18,C0006,West,Online
O00007,2024-07-21,C0007,Northeast,Retail
O00008,2024-07-25,C0008,Southeast,Online
O00009,2024-07-28,C0009,Midwest,Online
O00010,2024-08-01,C0010,Southwest,Online
O00011,2024-08-03,C0011,West,Retail
O00012,2024-08-06,C0012,Northeast,Online
O00013,2024-08-10,C0013,Southeast,Partner
O00014,2024-08-13,C0014,Midwest,Online
O00015,2024-08-17,C0015,Southwest,Retail
O00016,2024-08-20,C0016,West,Online
O00017,2024-08-24,C0017,Northeast,Online
O00018,2024-08-27,C0018,Southeast,Retail
O00019,2024-08-29,C0019,Midwest,Partner
O00020,2024-09-02,C0020,Southwest,Online
O00021,2024-09-05,C0021,West,Online
O00022,2024-09-08,C0022,Northeast,Retail
O00023,2024-09-12,C0023,Southeast,Online
O00024,2024-09-15,C0024,Midwest,Online
O00025,2024-09-18,C0025,Southwest,Partner
O00026,2024-09-22,C0026,West,Retail
O00027,2024-09-25,C0027,Northeast,Online
O00028,2024-09-28,C0028,Southeast,Online
O00029,2024-10-01,C0029,Midwest,Retail
O00030,2024-10-03,C0030,Southwest,Online
O00031,2024-10-06,C0031,West,Partner
O00032,2024-10-10,C0032,Northeast,Online
O00033,2024-10-13,C0033,Southeast,Retail
O00034,2024-10-16,C0034,Midwest,Online
O00035,2024-10-20,C0035,Southwest,Online
O00036,2024-10-23,C0036,West,Retail
O00037,2024-10-26,C0037,Northeast,Partner
O00038,2024-10-29,C0038,Southeast,Online
O00039,2024-11-01,C0039,Midwest,Online
O00040,2024-11-03,C0040,Southwest,Retail
O00041,2024-11-06,C0041,West,Online
O00042,2024-11-09,C0042,Northeast,Online
O00043,2024-11-12,C0043,Southeast,Partner
O00044,2024-11-15,C0044,Midwest,Retail
O00045,2024-11-18,C0045,Southwest,Online
O00046,2024-11-21,C0046,West,Online
O00047,2024-11-24,C0047,Northeast,Retail
O00048,2024-11-27,C0048,Southeast,Online
O00049,2024-11-29,C0049,Midwest,Partner
O00050,2024-12-02,C0050,Southwest,Online
O00051,2024-12-03,C0051,West,Retail
O00052,2024-12-05,C0052,Northeast,Online
O00053,2024-12-07,C0053,Southeast,Online
O00054,2024-12-09,C0054,Midwest,Partner
O00055,2024-12-11,C0055,Southwest,Retail
O00056,2024-12-13,C0056,West,Online
